created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-10T13:08:00-05:00,25.0774,63.3616,4.0737,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T13:18:01-05:00,25.2617,68.4428,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T13:28:01-05:00,25.219,66.5995,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T13:38:02-05:00,25.219,65.0111,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T13:38:04-05:00,,,,-46,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T13:48:03-05:00,25.486,64.9744,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T13:58:03-05:00,25.4566,61.4725,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:08:00-05:00,,,4.0996,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:08:03-05:00,25.5554,61.9165,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:08:04-05:00,,,,-45,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:18:04-05:00,25.4433,62.6474,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:28:03-05:00,25.6008,63.711,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:38:03-05:00,25.6702,64.3656,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:38:04-05:00,,,,-46,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:48:04-05:00,25.713,64.2786,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
2025-01-10T14:58:03-05:00,25.6142,66.0029,,,,,,,,,,,,,,,,,,,,AP97094GS1A,,,
