created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-10T18:30:10-05:00,,,4.0737,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T18:30:11-05:00,22.3751,71.5511,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T18:31:45-05:00,,,,-36,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T18:40:10-05:00,22.4578,73.0709,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T18:50:11-05:00,22.4311,72.4025,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:00:12-05:00,22.4578,74.0566,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:00:26-05:00,,,,-37,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:10:12-05:00,22.5299,73.7591,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:20:11-05:00,22.57,73.5378,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:30:10-05:00,,,4.0811,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:30:12-05:00,22.5433,72.6375,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:30:20-05:00,,,,-48,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:40:13-05:00,22.5006,69.0394,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T19:50:12-05:00,22.4311,67.7852,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:00:12-05:00,22.4445,70.2235,,-55,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:10:13-05:00,22.4578,73.1121,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:20:13-05:00,22.4739,74.6777,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:30:11-05:00,,,4.0774,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:30:12-05:00,22.4739,75.0652,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:30:14-05:00,,,,-60,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:40:13-05:00,22.4872,75.3658,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T20:50:13-05:00,22.5006,74.847,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:00:14-05:00,22.5139,74.1649,,-56,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:10:13-05:00,22.4739,72.9061,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:20:13-05:00,22.4178,70.0175,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:30:11-05:00,,,4.0774,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:30:13-05:00,22.3617,69.839,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:30:23-05:00,,,,-56,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:40:14-05:00,22.3884,72.6329,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T21:50:14-05:00,22.4178,74.3618,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:00:14-05:00,22.4311,74.6471,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:00:17-05:00,,,,-80,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:10:13-05:00,22.4044,74.2626,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:20:14-05:00,22.4311,74.1436,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:30:11-05:00,,,4.0737,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:30:14-05:00,22.4578,73.8552,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:30:15-05:00,,,,-55,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:40:14-05:00,22.4578,73.6156,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T22:50:14-05:00,22.4578,71.6014,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
2025-01-10T23:00:14-05:00,22.3884,69.0059,,,,,,,,,,,,,,,,,,,,C71CTDKGS1A,,,
