created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-10T18:17:16-05:00,22.3457,68.0095,4.0552,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T18:18:44-05:00,,,,,,,,,,,,,,,,,,,,"d4:5d:64:ea:94:c0,-48;04:d4:c4:36:9e:78,-53;40:b0:76:af:1c:68,-62;04:d4:c4:36:a9:c0,-66;98:35:ed:b4:6f:ca,-70",,HH71626GS1A,,,
2025-01-10T18:18:47-05:00,,,,-74,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T18:27:17-05:00,22.4178,69.2134,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T18:37:17-05:00,22.3884,70.0969,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T18:47:17-05:00,22.4178,70.6905,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T18:47:32-05:00,,,,,,,,,,,,,,,,,,,,,,HH71626GS1A,502,,
2025-01-10T18:47:33-05:00,,,,,,,,,,,,,,,,,,,,,,HH71626GS1A,507,,
2025-01-10T18:57:17-05:00,22.4018,70.6462,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T19:07:18-05:00,22.3751,71.5572,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T19:17:16-05:00,,,4.0552,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T19:17:18-05:00,22.3884,71.3085,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T19:17:20-05:00,,,,,,,,,,,,,,,,,,,,"d4:5d:64:ea:94:c0,-48;04:d4:c4:36:9e:78,-59;98:35:ed:b4:6f:ca,-64;04:d4:c4:36:a9:c0,-65;d4:5d:64:ea:85:20,-69",,HH71626GS1A,,,
2025-01-10T19:17:23-05:00,,,,-70,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T19:27:18-05:00,22.4018,71.8074,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
2025-01-10T19:37:17-05:00,22.3617,69.3141,,,,,,,,,,,,,,,,,,,,HH71626GS1A,,,
