created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-10T17:30:48-05:00,21.0319,74.3618,4.0404,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T17:32:25-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-39;98:35:ed:d3:9e:f6,-50;98:35:ed:4d:e7:5b,-57;98:35:ed:59:78:e0,-63;04:d4:c4:36:a9:c0,-65",,Y3A43R9GS1A,,,
2025-01-10T17:32:35-05:00,,,,-43,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T17:40:48-05:00,21.0025,73.0953,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T17:50:47-05:00,20.8904,72.5322,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:00:48-05:00,20.8343,73.6858,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:00:53-05:00,,,,-60,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:10:49-05:00,20.8209,74.1802,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:20:49-05:00,20.7782,73.3837,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:30:47-05:00,,,4.0589,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:30:49-05:00,20.7488,73.5439,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:30:57-05:00,,,,-62,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:40:49-05:00,20.7649,74.6181,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T18:50:49-05:00,20.6928,73.9925,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:00:49-05:00,20.7088,73.315,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:01:05-05:00,,,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,507,,
2025-01-10T19:10:49-05:00,20.7221,74.1253,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:20:50-05:00,20.6928,74.5006,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:30:47-05:00,,,4.0589,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:30:49-05:00,20.6928,74.0566,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:30:52-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-32;98:35:ed:d3:9e:f6,-34;98:35:ed:4d:e7:5b,-55;04:d4:c4:36:a9:c0,-58;04:d4:c4:36:aa:58,-59",,Y3A43R9GS1A,,,
2025-01-10T19:30:54-05:00,,,,-33,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:40:50-05:00,20.7088,74.7967,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T19:50:51-05:00,20.6928,75.6146,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
2025-01-10T20:00:52-05:00,20.7088,75.0271,,,,,,,,,,,,,,,,,,,,Y3A43R9GS1A,,,
