created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-12T19:55:28-05:00,23.3818,52.8069,4.0811,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:05:28-05:00,21.6701,54.0734,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:15:28-05:00,21.1921,57.3388,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:25:28-05:00,21.0079,58.7213,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:25:32-05:00,,,,-24,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:35:29-05:00,20.9384,59.2508,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:45:29-05:00,20.8824,59.9466,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:55:27-05:00,,,4.0996,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:55:29-05:00,20.7408,58.9044,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T20:55:35-05:00,,,,-68,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:05:29-05:00,20.6287,56.9314,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:15:28-05:00,20.5833,55.5108,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:25:28-05:00,20.5138,55.6954,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:25:31-05:00,,,,-58,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:35:28-05:00,20.4845,57.0809,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:45:29-05:00,20.4711,57.0214,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:55:27-05:00,,,4.0996,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:55:29-05:00,20.4017,57.113,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T21:55:44-05:00,,,,-59,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:05:30-05:00,20.3883,56.1349,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:15:31-05:00,20.3883,56.4553,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:25:32-05:00,20.3296,56.2158,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:25:40-05:00,,,,-57,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:35:31-05:00,20.3883,54.9065,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:45:31-05:00,20.3723,53.4569,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:55:27-05:00,,,4.0959,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:55:32-05:00,20.3296,54.3908,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T22:55:43-05:00,,,,-57,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T23:05:31-05:00,20.3029,53.4234,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T23:15:32-05:00,20.2735,54.7417,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T23:25:31-05:00,20.2735,54.1894,,,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
2025-01-12T23:25:33-05:00,,,,-62,,,,,,,,,,,,,,,,,,KMQRFFGGS1A,,,
