created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(RS485 Soil Temperature)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature)","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-02-27T16:45:44-05:00,26.2016,61.8112,4.07,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T16:55:44-05:00,25.7904,60.3922,,,,49.8,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:05:44-05:00,25.7904,60.9949,,,,43.2,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:15:45-05:00,25.7477,61.6861,,,,48.6,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:15:54-05:00,,,,-54,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:16:08-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-27T17:25:45-05:00,25.7076,61.4435,,,,50.7,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:35:46-05:00,25.6489,61.8067,,,,52.05,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:45:43-05:00,,,4.0922,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:45:45-05:00,25.6649,63.4669,,,,54.75,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:45:50-05:00,,,,-61,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T17:46:00-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,503,,
2025-02-27T17:46:01-05:00,,,,,,,,,,,,,,,,,,,,,,TTQ1F13GS1A,507,,
2025-02-27T17:55:46-05:00,25.6916,63.5462,,,,53.4,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T18:05:47-05:00,25.6489,62.6245,,,,53.85,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
2025-02-27T18:15:47-05:00,25.6649,62.414,,,,54.9,,,,,,,,,,,,,,,,TTQ1F13GS1A,,,
