created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-01-10T17:45:10-05:00,22.1694,66.7506,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T17:46:13-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-10T17:46:43-05:00,,,,-41,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T17:47:44-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-10T17:48:22-05:00,,,,-37,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T17:49:22-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-10T17:50:03-05:00,,,,-41,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T17:51:04-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-10T17:52:34-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,502,,
2025-01-10T17:52:36-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-10T17:54:35-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-42;98:35:ed:d3:9e:f6,-62;98:35:ed:4d:e7:5b,-63;fc:de:90:6f:03:6d,-68;98:35:ed:a2:eb:82,-69",,M95KA89GS1A,,,
2025-01-10T17:54:38-05:00,,,,-39,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T17:55:10-05:00,22.4125,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:02:30-05:00,22.4819,69.5155,4.107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:02:32-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-34;98:35:ed:d3:9e:f6,-48;98:35:ed:4d:e7:5b,-55;98:35:ed:8b:74:55,-59;04:d4:c4:36:a9:c0,-71",,M95KA89GS1A,,,
2025-01-10T18:02:44-05:00,,,,-75,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:03:32-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-36;98:35:ed:d3:9e:f6,-53;98:35:ed:4d:e7:5b,-56;50:9e:a7:6b:ac:37,-70;98:35:ed:a2:eb:82,-71",,M95KA89GS1A,,,
2025-01-10T18:03:42-05:00,,,,-38,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:12:29-05:00,22.594,69.6254,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:22:29-05:00,22.4258,67.1717,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:32:31-05:00,22.3564,68.3894,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:32:36-05:00,,,,-36,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:42:30-05:00,22.2709,68.9891,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T18:52:30-05:00,22.2255,65.9205,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:02:28-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:02:30-05:00,22.1988,68.069,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:02:34-05:00,,,,-84,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:12:31-05:00,22.1561,69.0669,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:22:31-05:00,22.084,66.0212,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:32:30-05:00,22.0706,69.749,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:32:31-05:00,,,,-65,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:42:30-05:00,22.1134,70.2831,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T19:52:31-05:00,22.1561,71.4519,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:02:29-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:02:31-05:00,22.0439,64.7486,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:02:33-05:00,,,,-80,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:12:32-05:00,22.0279,65.9663,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:22:32-05:00,22.0279,68.2292,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:32:32-05:00,22.0146,68.5771,,-72,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:42:32-05:00,21.9585,65.0874,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T20:52:33-05:00,21.9451,65.6367,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T21:02:30-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T21:02:32-05:00,21.9879,68.6213,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T21:02:45-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-10T21:12:33-05:00,22.0012,69.6193,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T21:22:33-05:00,21.9158,64.126,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T21:32:33-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-39;98:35:ed:4d:e7:5b,-55;98:35:ed:d3:9e:f6,-60;98:35:ed:a2:eb:82,-63;04:d4:c4:36:aa:58,-69",,M95KA89GS1A,,,
2025-01-10T21:32:35-05:00,22.0012,67.2129,,-42,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T21:42:34-05:00,21.9879,69.1249,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T21:52:35-05:00,21.9585,69.6925,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:02:31-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:02:33-05:00,,,,-40,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:02:35-05:00,21.9451,67.2984,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:12:35-05:00,21.9718,68.9158,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:22:35-05:00,21.9879,70.1411,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:32:34-05:00,,,,-84,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:32:35-05:00,22.0012,70.2785,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:42:35-05:00,21.9879,68.8975,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T22:52:36-05:00,22.0279,71.4961,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:02:32-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:02:36-05:00,22.0012,69.9397,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:02:40-05:00,,,,-75,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:12:36-05:00,22.0012,69.7841,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:22:36-05:00,22.0012,67.3594,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:32:36-05:00,22.0012,68.1819,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:32:43-05:00,,,,-74,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:42:37-05:00,22.0146,68.8228,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-10T23:52:37-05:00,22.1427,69.836,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:02:32-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:02:34-05:00,,,,-71,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:03:03-05:00,22.1561,66.4118,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:13:02-05:00,22.1,68.0919,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:23:03-05:00,22.084,69.2393,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:32:37-05:00,,,,-77,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:33:02-05:00,22.0573,69.2821,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:43:02-05:00,21.9718,65.0019,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T00:53:03-05:00,21.9585,67.8157,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:02:32-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:02:36-05:00,,,,-75,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:03:03-05:00,21.9318,68.4764,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:13:03-05:00,21.9158,68.3894,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:23:03-05:00,21.8891,66.566,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:32:38-05:00,,,,-43,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:33:03-05:00,21.817,65.9541,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:43:03-05:00,21.817,67.0787,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T01:53:04-05:00,21.817,67.8569,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:02:32-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:02:34-05:00,,,,-41,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:03:04-05:00,21.7609,68.687,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:13:03-05:00,21.7475,65.8015,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:23:03-05:00,21.7342,67.4281,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:32:36-05:00,,,,-36,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:33:03-05:00,21.7475,67.9545,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:43:04-05:00,21.8597,67.6387,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T02:53:03-05:00,21.7609,64.712,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:02:33-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:02:35-05:00,,,,-71,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:03:03-05:00,21.7021,65.3071,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:13:04-05:00,21.6754,65.7328,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:23:04-05:00,21.6888,66.0365,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:32:37-05:00,,,,-64,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:33:03-05:00,21.6594,65.9571,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:43:04-05:00,21.6194,64.9226,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T03:53:04-05:00,21.5633,63.9063,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:02:32-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:02:36-05:00,,,,-59,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:03:05-05:00,21.5473,65.211,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:13:05-05:00,21.5766,65.8305,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:23:04-05:00,21.5473,66.3432,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:32:36-05:00,,,,-40,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:33:05-05:00,21.5473,65.7939,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:43:06-05:00,21.4912,62.7939,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T04:53:06-05:00,21.6194,64.6754,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:02:33-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:02:37-05:00,,,,-43,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:03:07-05:00,21.6594,65.2888,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:13:07-05:00,21.6033,65.6199,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:23:08-05:00,21.5766,65.8946,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:32:39-05:00,,,,-71,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:33:08-05:00,21.5473,63.9384,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:43:08-05:00,21.5766,64.3732,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T05:53:08-05:00,21.5339,64.95,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:02:32-05:00,,,4.1144,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:02:43-05:00,,,,-74,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:03:08-05:00,21.5766,65.1194,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:13:09-05:00,21.5633,66.3142,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:23:09-05:00,21.5339,65.7343,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:32:50-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-11T06:33:09-05:00,21.4912,64.0665,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:43:09-05:00,21.4778,64.2786,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T06:53:10-05:00,21.5072,65.2888,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:02:32-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:02:37-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-39;98:35:ed:d3:9e:f6,-48;98:35:ed:4d:e7:5b,-55;98:35:ed:59:78:e0,-63;98:35:ed:8b:74:55,-64",,M95KA89GS1A,,,
2025-01-11T07:02:43-05:00,,,,-44,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:03:10-05:00,21.5339,65.9525,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:13:10-05:00,21.6033,67.9988,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:23:11-05:00,21.5339,63.9567,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:32:39-05:00,,,,-72,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:33:10-05:00,21.59,64.744,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:43:11-05:00,21.8036,65.1209,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T07:53:10-05:00,21.7475,66.1036,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:02:32-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:02:38-05:00,,,,-68,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:03:11-05:00,21.7475,64.4709,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:13:11-05:00,21.6754,64.1672,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:23:12-05:00,21.6594,65.6657,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:32:50-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,502,,
2025-01-11T08:32:51-05:00,,,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,507,,
2025-01-11T08:33:11-05:00,21.7021,67.2587,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:43:12-05:00,21.9585,67.4952,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T08:53:12-05:00,21.8036,67.1199,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:02:33-05:00,,,4.1107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:02:38-05:00,,,,,,,,,,,,,,,,,,,,"40:b0:76:af:1c:68,-34;98:35:ed:d3:9e:f6,-44;98:35:ed:97:2f:3f,-47;98:35:ed:4d:e7:5b,-56;98:35:ed:59:78:e0,-62",,M95KA89GS1A,,,
2025-01-11T09:02:40-05:00,,,,-43,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:03:12-05:00,21.7021,68.191,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:13:13-05:00,21.6888,68.5893,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:23:13-05:00,21.6594,68.8594,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:32:38-05:00,,,,-66,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:33:14-05:00,21.6033,67.9667,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:43:14-05:00,21.6033,68.8777,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T09:53:15-05:00,21.6888,70.486,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:02:34-05:00,,,4.107,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:02:43-05:00,,,,-50,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:03:16-05:00,21.7475,71.3314,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:13:16-05:00,21.7021,68.4291,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:23:16-05:00,21.6888,69.1539,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:32:40-05:00,,,,-75,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:33:16-05:00,21.6754,68.9464,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
2025-01-11T10:43:16-05:00,21.7208,69.099,,,,,,,,,,,,,,,,,,,,M95KA89GS1A,,,
